status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,doko,stim/doko.wav,2,7,107,16,,,space,0.820765972137,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,guku,stim/guku.wav,2,8,108,26,,,space,0.570463895798,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,baka,stim/baka.wav,2,9,109,2,,,space,0.647168874741,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,apa,stim/apa.wav,2,10,110,1,,,space,0.567545175552,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,deke,stim/deke.wav,2,11,111,13,,,space,0.733990907669,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,geke,stim/geke.wav,2,12,112,22,,,space,1.18425393105,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,koko,stim/koko.wav,2,13,113,31,,,space,0.833530902863,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,poko,stim/poko.wav,2,14,114,39,,,space,1.18381309509,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,oba,stim/oba.wav,2,15,115,33,,,space,0.620864152908,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,ita,stim/ita.wav,2,16,116,27,,,space,0.517161846161,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,paka,stim/paka.wav,2,17,117,35,,,space,0.763589859009,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,tiki,stim/tiki.wav,2,18,118,45,,,space,0.737525939941,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,caca,stim/caca.wav,2,19,119,9,,,space,0.900898933411,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,beke,stim/beke.wav,2,20,120,4,,,space,0.53350520134,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,keke,stim/keke.wav,2,21,121,29,,,space,0.884194135666,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,taka,stim/taka.wav,2,22,122,43,,,space,0.767201185226,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,piki,stim/piki.wav,2,23,123,38,,,space,0.91740489006,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,epa,stim/epa.wav,2,24,124,19,,,space,0.637290000916,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,kuku,stim/kuku.wav,2,25,125,32,,,space,1.05052280426,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,eda,stim/eda.wav,2,26,126,18,,,space,0.650819063187,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,tuku,stim/tuku.wav,2,27,127,48,,,space,0.716974020004,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,teke,stim/teke.wav,2,28,128,44,,,space,0.967497110367,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,puku,stim/puku.wav,2,29,129,41,,,space,0.717321157455,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,gaka,stim/gaka.wav,2,30,130,20,,,space,1.08412790298,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,uta,stim/uta.wav,2,31,131,49,,,space,1.38418793678,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,taco,stim/taco.wav,2,32,132,42,,,space,0.634142160416,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,dado,stim/dado.wav,2,33,133,11,,,space,0.817201852798,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,kaka,stim/kaka.wav,2,34,134,28,,,space,0.684052944183,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,giki,stim/giki.wav,2,35,135,23,,,space,1.0671749115,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,daka,stim/daka.wav,2,36,136,12,,,space,1.75055789948,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,boko,stim/boko.wav,2,37,137,6,,,space,0.717365980148,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,ada,stim/ada.wav,2,38,138,0,,,space,0.63016295433,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,oka,stim/oka.wav,2,39,139,34,,,space,0.667381048203,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,buku,stim/buku.wav,2,40,140,8,,,space,0.934329032898,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,toko,stim/toko.wav,2,41,141,47,,,space,0.433961868286,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,coco,stim/coco.wav,2,42,142,10,,,space,0.483549118042,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,gota,stim/gota.wav,2,43,143,25,,,space,0.534122943878,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,bala,stim/bala.wav,2,44,144,3,,,space,0.563704013824,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,dodo,stim/dodo.wav,2,45,145,15,,,space,1.30040097237,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,duku,stim/duku.wav,2,46,146,17,,,space,0.984364032745,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,polo,stim/polo.wav,2,47,147,40,,,space,0.934464216232,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,peke,stim/peke.wav,2,48,148,37,,,space,0.550502061844,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,biki,stim/biki.wav,2,49,149,5,,,space,0.650279998779,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
