luciabi_prodPicName_arbol,303.93,753.02,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
luciabi_prodPicName_silla2,433.70,828.36,0.67,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sol,241.12,760.00,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sol1,271.86,777.58,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sol2,284.51,764.81,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sombrero,369.76,785.66,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sombrero1,414.47,856.09,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_sombrero2,389.16,647.54,0,-7.51,407.78,508.89,8.34,101.10,diss
luciabi_prodPicName_taco,362.71,583.69,10.49,-12.63,673.88,531.28,9.03,136.52,taco
luciabi_prodPicName_taco1,384.96,649.89,11.01,-10.47,538.01,401.78,7.95,146.77,taco
luciabi_prodPicName_taco2,358.71,591.53,9.11,-14.83,713.39,431.27,5.83,100.38,taco
luciabi_prodPicName_topo,552.35,848.71,9.64,-18.80,506.03,407.52,11.79,256.59,topo
luciabi_prodPicName_topo1,367.40,562.12,17.13,-9.38,364.74,1373.84,5.60,31.54,topo
luciabi_prodPicName_topo2,669.83,969.19,4.63,-13.93,516.36,291.59,8.73,192.30,topo
