file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
jkw_prodShadow1_paka1,0.0,1.0076190476190476,jkw,-56.76282584313119,-58.09672832489014,1.205003473941591,14.909290357335808
bco_prodShadow1_paka1,0.0,0.531,bco,-58.473384065448116,-58.3040657043457,1.2050032410916371,9.07936782571565
jmt_prodShadow1_caca,0.0,0.62,jmt,-52.20148689516129,-49.90806198120117,1.2050032410916371,10.047871354557586
bco_prodShadow1_taka1,0.0,0.603,bco,-55.70334065755208,-55.38412952423096,1.2050032410916371,10.424028130856922
bco_prodShadow1_daka1,0.0,0.6078458049886621,bco,-56.63492971951844,-55.445698738098145,1.2050032410916371,10.07324649340969
mam_prodShadow1_daka,0.0,0.67,mam,-52.74115627915112,-56.27373218536377,1.2050032410916371,15.320956247870553
jmt_prodShadow1_baka2,0.0,0.751,jmt,-48.745830078125,-52.69747257232666,1.2050032410916371,14.047280447226953
mav_prodShadow1_gaka,0.0,0.72,mav,-53.14868503146701,-54.703413009643555,1.2050032410916371,12.489994518636262
jmt_prodShadow1_daka1,0.0,0.847,jmt,-52.37127182904412,-54.547478675842285,1.2050032410916371,15.529386576055005
bco_prodShadow1_apa,0.0,0.446,bco,-54.59810655381944,-52.89340464274088,1.2050032119853928,6.682158912498416
bco_prodShadow1_daka,0.0,0.5647165532879819,bco,-56.366184779575896,-54.29648399353027,1.2050031246666604,8.38768398478233
jmt_prodShadow1_paka,0.0,0.67,jmt,-50.60972845732276,-47.88796615600586,1.2050031246666604,14.388180240300999
jmt_prodShadow1_caca1,0.0,0.9809297052154196,jmt,-52.94320491868623,-53.91247749328613,1.2050030082416834,12.612369728538441
ems_prodShadow1_gaka,0.0,0.813,ems,-56.55427155671296,-61.83808135986328,1.2050030082416834,11.690224249822968
mav_prodShadow1_caca2,0.0,0.821609977324263,mav,-50.97216201410061,-49.84975337982178,1.2050030082416834,12.499327670344472
ems_prodShadow1_daka2,0.0,1.1015646258503402,ems,-49.50925071022727,-58.7493839263916,1.2050030082416834,9.965970366877063
mav_prodShadow1_kaka,0.0,0.92,mav,-48.27250870414402,-52.214449882507324,1.2050030082416834,12.597124945180134
jal_prodShadow1_daka,0.0,0.8746258503401361,jal,-46.89466314206178,-51.714566230773926,1.2050030082416834,16.115297439155672
ems_prodShadow1_caca,0.0,1.134,ems,-52.79981332964602,-59.47609615325928,1.2050030082416834,10.493665174318604
mav_prodShadow1_kaka2,0.0,0.974,mav,-48.75643323131443,-49.753695487976074,1.2050030082416834,12.248265353382507
mam_prodShadow1_baka1,0.0,0.67,mam,-54.950002186333954,-58.041717529296875,1.2050030082416834,14.321603215942687
jkw_prodShadow1_bala2,0.0,1.2096145124716553,jkw,-48.725864378873965,-47.71971035003662,1.2050030082416834,14.670508308051438
jmt_prodShadow1_gaka,0.0,0.7497959183673469,jmt,-52.636201171875,-53.77230739593506,1.2050030082416834,14.044913385542557
mam_prodShadow1_bola1,0.0,0.635,mam,-51.71305465698242,-53.22787666320801,1.2048118702307657,14.068420712594168
mam_prodShadow1_bala,0.0,0.6559863945578231,mam,-51.87640565814394,-54.237104415893555,1.2048106461567962,14.14244898832775
mam_prodShadow1_bola,0.0,0.6768480725623582,mam,-51.169717227711395,-57.88790702819824,1.2048106461567962,14.311191695557728
mav_prodShadow1_bola,0.0,0.92,mav,-46.14268427309783,-50.33025646209717,1.1946930772699624,14.456650455910323
djv_prodShadow1_gota,0.0,0.809,djv,-59.075484664351855,-64.6005687713623,1.1946930772699624,14.697886348612984
blr_prodShadow1_gota,0.0,1.096,blr,-53.28386896306818,-63.02547359466553,1.1946930772699624,11.341701197130455
mav_prodShadow1_gota1,0.0,0.8785260770975056,mav,-49.26482599431818,-52.52457618713379,1.1946930772699624,11.217448970825037
mam_prodShadow1_gota1,0.0,0.708,mam,-55.923628686179576,-61.759063720703125,1.19469278819317,12.513019113512696
mam_prodShadow1_gota,0.0,0.645578231292517,mam,-53.63546799879808,-58.096885681152344,1.19469278819317,13.032630606215204
ems_prodShadow1_oka2,0.0,0.793,ems,-51.41221444818038,-60.508182525634766,1.19469278819317,11.64721478690441
jkw_prodShadow1_gota2,0.0,1.036,jkw,-52.34294245793269,-54.31874656677246,1.177162093510693,14.96552353423528
djv_prodShadow1_taka2,0.0,0.999,djv,-49.673125,-51.36433792114258,1.1591698255966356,17.62756520469098
djv_prodShadow1_taka1,0.0,0.882,djv,-53.0036454634233,-55.71327590942383,1.1591698255966356,17.643696744879126
bco_prodShadow1_taka,0.0,0.496,bco,-52.758779296875,-52.87662315368652,1.1591697939611487,11.712296805639701
