file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ems_prodShadow3_gota,0.0,0.984,ems,-53.99448939732143,-55.71205997467041,2.4270910113414885,4.583487723039427
jal_prodShadow3_taka1,0.0,0.9185941043083901,jal,-48.18811565896739,-50.44801044464111,2.424658225086455,7.501963745226011
jkw_prodShadow3_ada1,0.0,0.9185714285714286,jkw,-56.9609375,-62.58593877156576,2.408909441579507,11.320633320112385
ems_prodShadow3_gaka,0.0,0.8309297052154195,ems,-56.099250517695786,-61.89944934844971,2.4089084449755678,11.139691258419678
ems_prodShadow3_taka,0.0,1.006,ems,-50.85279045482673,-58.87335205078125,2.4089084449755678,7.647666687516473
jal_prodShadow3_paka1,0.0,0.8309070294784581,jal,-51.45901378953313,-52.99105167388916,2.359194676758465,9.934347757744764
mav_prodShadow3_gota1,0.0,0.803,mav,-52.55589599609375,-53.83714962005615,2.279150018666511,9.21617999561444
mav_prodShadow3_gota2,0.0,0.8566893424036282,mav,-55.81210256177326,-51.967209815979004,2.279149838656012,8.008934110943443
lmw_prodShadow3_bola2,0.0,1.313,lmw,-45.259571803435115,-44.493754386901855,2.2727591478300995,13.304155342781645
lmw_prodShadow3_taka,0.0,0.94,lmw,-48.36806017287234,-52.13002014160156,2.2727581512261605,11.40206598027172
ems_prodShadow3_bala2,0.0,1.028,ems,-44.78446412317961,-48.91863822937012,2.2727581512261605,14.280876566240813
jkw_prodShadow3_eda,0.0,0.984,jkw,-54.01176359215561,-54.429274241129555,2.2727581512261605,14.223566774825057
blr_prodShadow3_uta2,0.0,0.9405215419501134,blr,-54.53752493351064,-59.634047190348305,2.2727581512261605,18.41171679571825
lmw_prodShadow3_oka2,0.0,1.1377551020408163,lmw,-50.28253923382675,-50.71853764851888,2.2727581512261605,10.777819926401515
lmw_prodShadow3_bala1,0.0,1.291,lmw,-45.2498296693314,-44.35670566558838,2.2727571546222216,14.072566422819115
lmw_prodShadow3_bola,0.0,1.1158503401360544,lmw,-46.379037039620535,-49.70968818664551,2.2618551735043835,12.050227510311602
bco_prodShadow3_bala,0.0,1.1596825396825396,bco,-49.256482354525865,-51.93876361846924,2.261854525345545,14.124709089503309
jmt_prodShadow3_bola,0.0,0.8966893424036281,jmt,-45.8583984375,-52.175289154052734,2.2526502125449746,12.384634273278088
mav_prodShadow3_eda1,0.0,0.9185941043083901,mav,-48.26340119735055,-46.07668940226237,2.248613878722431,13.287274813971438
jmt_prodShadow3_taka2,0.0,1.576,jmt,-53.89822117286393,-61.68249320983887,2.241707205515722,10.485119721072106
jkw_prodShadow3_epa,0.0,1.028,jkw,-55.61485038683252,-64.32558186848958,2.241706208911783,10.006845037243885
jkw_prodShadow3_gaka,0.0,0.82,jkw,-56.2614150628811,-57.869784355163574,2.241706208911783,8.883596462645947
jkw_prodShadow3_gaka2,0.0,1.072,jkw,-56.309885185455606,-59.29452419281006,2.241706208911783,7.149330861079974
ems_prodShadow3_taka2,0.0,0.894,ems,-52.70936841643258,-54.238097190856934,2.2318423648402583,7.536676703474441
lmw_prodShadow3_uta1,0.0,1.093922902494331,lmw,-48.321974448107795,-52.351617177327476,2.1880286153759734,13.004826374964264
bco_prodShadow3_gaka2,0.0,1.4665079365079365,bco,-51.682929421768705,-61.524333000183105,2.1834530125640814,13.470157376094392
bco_prodShadow3_daka2,0.0,1.335,bco,-51.673307048740675,-61.533413887023926,2.1834530125640814,10.488415897938427
blr_prodShadow3_taka1,0.0,0.9405215419501134,blr,-52.362777385305854,-53.45838737487793,2.135434578376094,13.4828415009498
blr_prodShadow3_baka2,0.0,1.028,blr,-47.59514847542476,-53.59174919128418,2.105555915162376,16.99251215318452
lmw_prodShadow3_oba1,0.0,1.488,lmw,-47.66021851405201,-50.03355916341146,2.105555915162376,13.536616632201433
lmw_prodShadow3_oka,0.0,1.488,lmw,-47.11578164324664,-52.04714330037435,2.105555915162376,12.505364180078592
blr_prodShadow3_caca2,0.0,1.05,blr,-49.220056733630955,-54.804494857788086,2.105555915162376,17.546891216514034
lmw_prodShadow3_eda,0.0,1.072,lmw,-47.26181458089953,-48.021968841552734,2.105554918558437,17.694224945559668
jal_prodShadow3_apa2,0.0,1.006,jal,-51.23318088644802,-57.965911865234375,2.0745039728479986,12.739506444235902
bco_prodShadow3_bala2,0.0,1.4226984126984128,bco,-47.31701832086268,-49.28590679168701,2.0443693641746834,13.872955059294386
blr_prodShadow3_oka,0.0,0.8966666666666666,blr,-55.13620876736111,-61.857025146484375,2.038079624166162,13.030922497865607
bco_prodShadow3_gota2,0.0,1.291,bco,-53.45105453609496,-60.5554838180542,2.0375437071647884,10.21871239676058
jkw_prodShadow3_paka,0.0,0.94,jkw,-51.36318255485372,-51.939720153808594,2.03568906720544,8.938824859767104
blr_prodShadow3_kaka2,0.0,0.765,blr,-54.84931767451299,-58.952640533447266,2.0020795087192145,16.806024918856956
bco_prodShadow3_kaka,0.0,1.4226757369614513,bco,-51.523918904049296,-59.05437660217285,2.0020789889751764,12.073637250464769
